roc_auc,pr_auc,brier_score,accuracy,precision,recall,f1,threshold,business_score
0.842900875765326,0.653878092576806,0.13658931851387024,0.6281050390347764,0.4115566037735849,0.9331550802139037,0.5711947626841244,0.1,0.7505956134597922
0.842900875765326,0.653878092576806,0.13658931851387024,0.6430092264017033,0.42162818955042525,0.9278074866310161,0.5797827903091061,0.11,0.7506447326528093
0.842900875765326,0.653878092576806,0.13658931851387024,0.6515259048970902,0.42714819427148193,0.9171122994652406,0.5828377230246389,0.12,0.7456248626474251
0.842900875765326,0.653878092576806,0.13658931851387024,0.6635911994322214,0.4358974358974359,0.9090909090909091,0.5892547660311959,0.13,0.7434731934731935
0.842900875765326,0.653878092576806,0.13658931851387024,0.6749467707594038,0.4445910290237467,0.9010695187165776,0.5954063604240283,0.13999999999999999,0.7413020473240868
0.842900875765326,0.653878092576806,0.13658931851387024,0.6827537260468417,0.45100671140939597,0.8983957219251337,0.6005361930294906,0.14999999999999997,0.7418095682446255
0.842900875765326,0.653878092576806,0.13658931851387024,0.687721788502484,0.45454545454545453,0.8823529411764706,0.6,0.15999999999999998,0.7326203208556149
0.842900875765326,0.653878092576806,0.13658931851387024,0.6969481902058198,0.4625176803394625,0.8743315508021391,0.6049953746530989,0.16999999999999998,0.7301966961402022
0.842900875765326,0.653878092576806,0.13658931851387024,0.7033356990773598,0.4680232558139535,0.8609625668449198,0.6064030131826742,0.17999999999999997,0.7234338079840816
0.842900875765326,0.653878092576806,0.13658931851387024,0.709013484740951,0.4732937685459941,0.8529411764705882,0.6087786259541985,0.18999999999999995,0.7200645836969803
0.842900875765326,0.653878092576806,0.13658931851387024,0.71611071682044,0.48042168674698793,0.8529411764705882,0.6146435452793835,0.19999999999999996,0.7225593550673282
0.842900875765326,0.653878092576806,0.13658931851387024,0.7196593328601846,0.4838709677419355,0.8422459893048129,0.6146341463414634,0.20999999999999996,0.7168147317578057
0.842900875765326,0.653878092576806,0.13658931851387024,0.7274662881476224,0.4921135646687697,0.8342245989304813,0.6190476190476191,0.21999999999999995,0.7144857369388822
0.842900875765326,0.653878092576806,0.13658931851387024,0.7324343506032647,0.49759229534510435,0.8288770053475936,0.6218655967903711,0.22999999999999995,0.7129273568467224
0.842900875765326,0.653878092576806,0.13658931851387024,0.7395315826827538,0.5057471264367817,0.8235294117647058,0.6266531027466938,0.23999999999999994,0.7123056118999324
0.842900875765326,0.653878092576806,0.13658931851387024,0.7501774308019872,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.24999999999999992,0.7167755991285403
0.842900875765326,0.653878092576806,0.13658931851387024,0.7494677075940384,0.5180722891566265,0.8048128342245989,0.6303664921465969,0.2599999999999999,0.7044536434508086
0.842900875765326,0.653878092576806,0.13658931851387024,0.751596877217885,0.5211267605633803,0.7914438502673797,0.6284501061571125,0.2699999999999999,0.69683286887098
0.842900875765326,0.653878092576806,0.13658931851387024,0.7544357700496807,0.525089605734767,0.7834224598930482,0.628755364806867,0.2799999999999999,0.6930059609376498
0.842900875765326,0.653878092576806,0.13658931851387024,0.7558552164655784,0.5273722627737226,0.7727272727272727,0.6268980477223427,0.2899999999999999,0.6868530192435303
0.842900875765326,0.653878092576806,0.13658931851387024,0.758694109297374,0.5315985130111525,0.7647058823529411,0.6271929824561403,0.29999999999999993,0.6831183030833151
0.842900875765326,0.653878092576806,0.13658931851387024,0.7608232789212207,0.5351043643263758,0.7540106951871658,0.6259711431742508,0.30999999999999994,0.6773934793858892
0.842900875765326,0.653878092576806,0.13658931851387024,0.7636621717530163,0.5398058252427185,0.7433155080213903,0.625421822272216,0.3199999999999999,0.6720871190488552
0.842900875765326,0.653878092576806,0.13658931851387024,0.7636621717530163,0.5404339250493096,0.732620320855615,0.6220204313280363,0.32999999999999985,0.6653550823234081
