mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0301183700561523,0.06766553277004533,0.03862223625183105,0.0010684730109393752,0.85,3,4,0.02,1.0,"{'model__subsample': 0.85, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model__colsample_bytree': 1.0}",0.651148956793012,0.6370835475135531,0.6957266211256918,0.6780908160020229,0.673322573234627,0.6670745029337815,0.02066118021742668,1
1.0026132583618164,0.0813282714218912,0.038809680938720705,0.0015114996813708342,0.75,5,4,0.02,1.0,"{'model__subsample': 0.75, 'model__min_child_weight': 5, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model__colsample_bytree': 1.0}",0.6508285002172152,0.6361751787848305,0.6950109311670275,0.6770626716221987,0.6759128404772268,0.6669980244536997,0.020866218339941248,2
0.983208179473877,0.07668191977462319,0.04625978469848633,0.004074520527588292,1.0,3,5,0.02,0.75,"{'model__subsample': 1.0, 'model__min_child_weight': 3, 'model__max_depth': 5, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.75}",0.6550756714143038,0.640204234361352,0.6924265443385134,0.6726557970874291,0.6619792223613594,0.6644682939125914,0.01750348762735659,3
0.9201314926147461,0.044069668321869156,0.03918099403381348,0.0016656580935704096,0.85,5,4,0.035,0.85,"{'model__subsample': 0.85, 'model__min_child_weight': 5, 'model__max_depth': 4, 'model__learning_rate': 0.035, 'model__colsample_bytree': 0.85}",0.6438181655390778,0.6306443126345355,0.6851722243545395,0.6668173639193564,0.6673502973895284,0.6587604727674076,0.0192357490620803,4
0.9868996620178223,0.04568128652283524,0.04210538864135742,0.0017608217941561342,0.75,3,4,0.035,1.0,"{'model__subsample': 0.75, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.035, 'model__colsample_bytree': 1.0}",0.6438170418789351,0.6318533405579145,0.6880013297896064,0.6646547965299519,0.6619381187872916,0.65805292550874,0.019207628594282548,5
1.4699339866638184,0.16820809309469034,0.05591773986816406,0.009146966902430833,0.75,5,6,0.02,0.85,"{'model__subsample': 0.75, 'model__min_child_weight': 5, 'model__max_depth': 6, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.85}",0.6390283999899261,0.6330672412702716,0.682966088873149,0.6563342023112326,0.6606015136420628,0.6543994892173284,0.017604510922647806,6
1.0641077995300292,0.04196741831852813,0.04988260269165039,0.004487683608476468,0.85,8,5,0.035,0.75,"{'model__subsample': 0.85, 'model__min_child_weight': 8, 'model__max_depth': 5, 'model__learning_rate': 0.035, 'model__colsample_bytree': 0.75}",0.6379486054852206,0.6324289932991638,0.6835399105954599,0.6563544355872944,0.6573429226861538,0.6535229735306585,0.017950725008770176,7
0.9155140399932862,0.03793368534597609,0.04149188995361328,0.0011983134343277293,0.85,8,4,0.05,0.75,"{'model__subsample': 0.85, 'model__min_child_weight': 8, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.75}",0.6384972467874854,0.6311320516006835,0.6827227590908832,0.656821280029271,0.6575889256491989,0.6533524526315043,0.01792773678578341,8
1.0512819766998291,0.1415031463204736,0.04516019821166992,0.007255697871940748,0.75,5,3,0.08,1.0,"{'model__subsample': 0.75, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.08, 'model__colsample_bytree': 1.0}",0.6313081375739689,0.6313362682356352,0.6770977751645645,0.6572222532135026,0.6609395672115929,0.6515808002798528,0.017840125828189196,9
0.7859037399291993,0.019849443733783088,0.035596704483032225,0.0016195201632017895,0.85,8,3,0.08,0.85,"{'model__subsample': 0.85, 'model__min_child_weight': 8, 'model__max_depth': 3, 'model__learning_rate': 0.08, 'model__colsample_bytree': 0.85}",0.637214344658781,0.6247582219610311,0.6761891205418525,0.6580518137464504,0.6608324207955014,0.6514091843407233,0.018213920051413066,10
