model,roc_auc,pr_auc,brier_score,accuracy,precision,recall,f1
logistic_regression,0.8460254721124287,0.6619726572445077,0.1647075507593974,0.7423704755145494,0.5093696763202725,0.7994652406417112,0.6222684703433923
xgboost,0.8396135265700483,0.646530324980204,0.13836878538131714,0.7963094393186657,0.6426229508196721,0.5240641711229946,0.5773195876288659
xgboost_tuned,0.842900875765326,0.653878092576806,0.13658931851387024,0.6430092264017033,0.42162818955042525,0.9278074866310161,0.5797827903091061
